battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1381,no,1.2000000000000002,no,5,yes,36,0.9,210,2,7,538,1376,3428,5,4.0,18,yes,yes,yes,3
1168,no,2.1,no,3,yes,25,0.9,208,5,4,59,1203,2490,13,5.0,16,yes,no,no,2
1661,no,2.9,no,5,no,16,0.7,99,1,20,819,902,3257,19,14.0,10,no,no,yes,3
828,yes,2.5,yes,0,yes,58,0.4,98,4,1,179,786,2865,9,3.0,19,yes,no,yes,2
1566,no,2.4,no,4,yes,25,0.6,199,6,17,1259,1965,1498,6,4.0,8,yes,yes,yes,1
1959,no,1.0,yes,11,no,31,0.7,191,3,16,396,1732,3803,12,0.0,8,yes,no,yes,3
670,no,3.0,yes,7,no,30,0.30000000000000004,205,8,12,522,1056,2401,10,5.0,8,yes,yes,yes,1
1215,yes,0.6,no,0,no,16,0.6,118,5,0,226,1248,2702,12,3.0,10,no,no,yes,2
868,no,0.6,yes,5,yes,46,0.6,189,8,7,692,1686,3827,12,11.0,3,yes,yes,yes,3
538,no,2.5,yes,12,yes,3,0.4,192,7,14,1386,1539,286,12,9.0,5,yes,yes,no,0
525,no,2.7,yes,1,no,14,0.2,165,8,2,304,1042,1429,9,1.0,10,no,yes,no,0
1755,no,0.6,yes,0,yes,31,0.2,144,1,18,1590,1926,1326,17,0.0,18,yes,no,yes,2
1220,no,1.9000000000000001,yes,1,yes,14,0.6,157,3,4,229,616,400,17,0.0,6,yes,no,no,0
788,no,2.3000000000000003,yes,0,no,33,0.6,151,7,6,507,1697,2392,12,,6,yes,no,yes,2
1680,no,2.2,no,3,yes,64,1.0,144,3,11,436,536,280,19,,11,yes,yes,no,0
1816,no,1.5,yes,1,yes,9,0.5,151,2,2,756,786,3558,18,12.0,17,yes,no,no,3
1103,no,1.9000000000000001,no,0,no,31,0.30000000000000004,158,2,7,387,1269,2198,12,6.0,20,no,yes,yes,1
508,no,1.7000000000000002,no,6,yes,41,0.9,169,1,7,875,1025,2967,13,10.0,16,yes,no,no,2
845,yes,0.6,no,1,yes,56,0.2,157,5,17,140,800,2343,10,1.0,21,yes,yes,yes,1
744,no,2.3000000000000003,yes,4,no,56,0.30000000000000004,200,7,14,577,1359,3559,16,11.0,13,no,yes,yes,3
1694,yes,2.2,no,3,yes,61,1.0,186,6,12,975,1996,1356,16,7.0,20,yes,no,no,1
1487,no,1.1,no,2,yes,32,0.7999999999999999,94,2,9,510,1013,2149,19,1.0,12,yes,yes,no,2
1226,no,0.6,no,16,yes,6,0.5,119,6,18,747,826,508,10,0.0,12,yes,yes,yes,0
1358,no,2.9,no,0,no,29,0.6,208,6,0,1612,1983,3704,17,0.0,20,no,no,no,3
1842,no,0.6,yes,12,no,34,0.7999999999999999,152,1,16,311,1545,1080,8,0.0,11,no,no,no,1
1483,yes,0.7999999999999999,yes,4,yes,37,0.7,106,5,13,116,1533,2947,10,5.0,17,yes,yes,yes,2
963,yes,1.6,yes,10,no,51,0.4,162,6,16,554,621,2983,15,6.0,8,yes,yes,yes,2
1298,no,1.0,yes,0,yes,14,0.6,134,5,3,811,1272,492,7,1.0,5,yes,yes,yes,0
1195,no,1.0,no,11,no,26,0.6,176,1,20,730,1729,538,17,14.0,5,yes,no,yes,0
1443,no,2.2,yes,11,yes,3,0.2,128,8,17,577,1071,2319,16,4.0,8,yes,no,yes,2
519,no,1.5,yes,3,yes,33,0.9,193,4,8,660,974,3706,17,16.0,12,yes,no,yes,3
750,yes,1.8,no,0,yes,27,1.0,160,8,4,450,1554,2128,18,9.0,8,yes,no,no,1
1574,no,0.7,no,0,yes,58,0.30000000000000004,167,7,8,1109,1937,2464,12,8.0,11,yes,no,no,3
1571,no,2.9,yes,17,no,44,0.4,120,4,20,45,1942,1262,9,2.0,18,yes,no,no,1
1272,yes,0.7,yes,2,yes,32,0.6,111,7,6,299,845,3772,5,3.0,14,yes,yes,no,3
1856,no,3.1,no,2,yes,8,0.2,111,5,5,506,627,1888,17,4.0,21,yes,yes,no,1
627,yes,1.3,yes,5,yes,10,0.30000000000000004,193,4,8,635,842,3325,9,1.0,8,yes,yes,yes,2
1579,no,0.6,yes,0,yes,42,0.4,207,5,4,1045,1737,2062,19,6.0,13,yes,no,no,2
536,no,0.6,yes,0,yes,16,1.1,199,5,1,393,1199,3928,16,12.0,21,yes,no,no,3
948,no,1.8,yes,8,yes,25,0.9,153,6,15,650,1740,2179,7,5.0,14,yes,yes,yes,2
687,no,0.6,no,2,no,29,0.9,103,7,10,433,648,730,14,8.0,5,no,no,yes,0
1951,no,1.4000000000000001,yes,0,no,23,0.2,111,5,1,839,1136,2480,14,8.0,21,yes,no,no,3
949,no,0.9,yes,0,yes,22,0.2,207,2,13,1176,1220,2844,16,12.0,3,yes,no,no,2
803,yes,2.3000000000000003,yes,2,no,63,0.5,175,7,4,650,879,1619,17,4.0,20,no,no,yes,1
705,yes,2.8000000000000003,no,12,yes,30,0.4,123,1,20,218,1065,1474,14,7.0,8,yes,no,no,0
1167,yes,2.5,no,11,no,41,0.30000000000000004,188,6,12,564,831,766,19,12.0,16,yes,no,no,0
961,yes,2.7,yes,15,no,20,1.1,94,4,19,561,1631,3967,16,1.0,7,yes,no,no,3
1382,yes,2.2,yes,1,yes,4,0.9,102,3,13,420,500,799,13,2.0,16,yes,yes,no,0
1268,no,0.6,no,0,yes,5,0.2,105,6,9,1365,1698,1689,11,0.0,19,yes,no,no,2
1936,yes,2.7,yes,0,yes,46,0.2,113,1,17,619,1299,2942,13,9.0,3,yes,yes,yes,3
1907,yes,0.6,no,3,yes,6,0.6,161,1,5,849,898,1547,9,5.0,11,yes,yes,no,1
598,no,1.5,no,8,no,46,0.7,175,1,18,953,984,2507,15,4.0,16,yes,yes,no,1
1564,yes,1.4000000000000001,yes,1,yes,7,0.30000000000000004,200,5,15,642,1533,2245,12,10.0,7,yes,no,no,2
1492,yes,0.6,yes,4,yes,64,0.4,160,8,8,1417,1464,3602,17,9.0,8,yes,yes,yes,3
1525,yes,2.5,no,5,yes,57,0.30000000000000004,127,2,6,247,539,3973,18,12.0,11,yes,yes,yes,3
642,no,0.7,no,0,no,20,0.2,173,4,15,710,1179,2846,7,5.0,19,yes,yes,no,2
1528,no,2.2,no,1,yes,23,0.30000000000000004,127,7,8,718,751,2229,18,10.0,4,yes,yes,no,2
1310,no,2.0,no,0,yes,61,0.7999999999999999,116,3,7,59,1215,3357,15,,5,yes,no,yes,3
611,no,0.6,no,3,no,26,0.4,103,4,4,938,1948,1868,11,10.0,15,yes,yes,yes,1
1907,no,0.7,yes,9,yes,36,0.5,129,3,20,825,1542,1289,13,4.0,17,yes,no,no,1
1705,yes,0.6,no,0,yes,22,0.7,202,1,0,286,1235,1048,5,4.0,14,yes,no,yes,0
1447,yes,2.5,yes,7,yes,20,0.5,183,7,15,1273,1345,1443,7,4.0,14,yes,yes,yes,1
1089,no,1.4000000000000001,no,0,yes,16,0.4,176,3,9,295,589,692,14,6.0,7,yes,no,yes,0
767,no,0.6,yes,0,yes,47,0.4,125,8,1,1277,1429,2245,11,7.0,5,yes,no,yes,2
1267,no,1.6,no,7,no,49,0.7999999999999999,192,5,16,690,836,1364,5,0.0,13,no,no,yes,1
666,yes,,,1,,51,0.2,120,7,4,701,1478,3631,19,,7,yes,yes,yes,3
1541,yes,2.7,no,0,no,41,0.2,169,8,0,1112,1666,2109,15,9.0,11,yes,no,yes,2
1051,yes,2.3000000000000003,no,9,no,63,0.6,145,5,17,199,1077,1024,11,3.0,14,no,no,no,0
1829,no,1.8,no,4,yes,39,0.6,138,5,16,55,1020,2846,14,9.0,11,yes,yes,no,2
905,no,1.1,yes,0,yes,50,0.5,101,1,0,1230,1235,713,9,5.0,11,yes,yes,no,0
1989,yes,0.6,no,3,yes,53,1.1,191,3,7,1052,1516,3119,18,5.0,9,yes,yes,yes,3
1156,no,1.3,yes,0,yes,49,0.30000000000000004,191,8,2,541,1499,980,5,,8,yes,no,yes,0
1338,no,1.0,no,5,yes,17,0.30000000000000004,204,5,9,55,583,1871,13,1.0,17,yes,yes,yes,1
1553,no,1.2000000000000002,no,4,no,51,0.2,98,5,6,1738,1995,3846,11,8.0,5,no,yes,no,3
852,yes,1.7000000000000002,yes,6,yes,29,0.6,143,5,19,404,642,595,19,17.0,11,yes,no,yes,0
1227,yes,2.2,yes,8,no,13,0.6,126,4,12,759,1404,3838,12,11.0,12,no,no,no,3
1454,yes,0.6,yes,1,yes,25,1.0,133,6,11,42,1040,2671,12,10.0,14,yes,no,no,2
1688,yes,2.9,yes,3,no,38,0.2,176,4,4,397,1453,2960,14,,3,no,no,no,3
1636,yes,1.5,no,1,yes,17,0.30000000000000004,210,2,5,964,1677,3033,11,6.0,7,yes,yes,yes,3
1153,yes,,,0,,31,0.7,138,8,1,1022,1560,2379,18,,14,no,yes,no,2
1580,no,2.0,yes,2,yes,37,0.2,148,4,19,411,1226,2460,19,16.0,4,yes,no,yes,2
1490,no,,no,1,,39,0.9,122,5,6,1528,1647,3056,14,,20,no,no,no,3
1315,yes,1.9000000000000001,yes,4,no,9,0.5,115,1,6,416,1308,3793,11,10.0,7,no,yes,yes,3
1717,no,1.1,yes,4,yes,31,0.6,93,8,17,638,1615,627,17,6.0,14,yes,no,no,0
530,no,1.8,no,12,yes,6,0.9,152,2,15,574,637,3258,9,8.0,7,yes,yes,no,2
1135,no,1.5,no,3,no,42,0.2,209,5,12,730,1543,1459,18,12.0,21,yes,no,yes,1
1720,yes,2.6,yes,14,yes,6,0.2,193,5,16,564,980,3757,7,1.0,9,yes,yes,yes,3
1332,no,0.6,no,0,no,38,1.1,193,7,1,1290,1441,1735,9,0.0,12,yes,no,yes,1
635,yes,2.3000000000000003,no,0,yes,49,0.2,149,8,1,529,1009,3562,11,1.0,17,yes,yes,yes,2
726,no,2.8000000000000003,yes,0,no,44,0.6,197,7,0,1273,1754,2313,7,6.0,8,yes,no,no,2
824,yes,0.6,no,0,yes,51,0.4,167,6,20,667,860,3848,10,1.0,4,yes,no,no,3
1920,no,2.0,no,2,no,10,0.7,120,5,10,1170,1543,1719,7,1.0,17,yes,yes,yes,2
1893,no,2.9,no,7,yes,37,0.5,139,7,14,169,1108,3706,8,6.0,12,yes,no,no,3
1375,yes,1.1,yes,2,no,50,0.30000000000000004,137,7,12,105,673,3802,8,3.0,15,yes,no,no,3
864,yes,0.9,yes,3,no,23,0.5,175,2,15,793,1758,280,16,3.0,12,no,no,yes,0
1275,no,1.1,no,3,yes,48,0.5,109,4,15,490,886,1769,18,,12,yes,yes,no,1
959,yes,2.6,no,4,no,7,0.9,117,5,10,1201,1485,1848,12,5.0,8,yes,no,yes,1
895,no,2.6,yes,0,no,55,0.7,193,2,1,417,946,2988,7,1.0,7,no,yes,yes,2
1212,no,0.6,no,0,no,63,0.2,103,5,0,1177,1462,2396,17,9.0,8,no,no,no,2
837,no,1.2000000000000002,yes,2,no,7,0.30000000000000004,111,4,7,323,1604,1183,13,5.0,16,yes,yes,yes,0
1452,yes,2.8000000000000003,yes,9,no,19,0.7,141,1,17,707,1882,577,15,9.0,13,no,no,no,0
975,yes,1.6,no,5,yes,57,0.30000000000000004,200,7,16,457,1816,2979,6,4.0,3,yes,no,no,2
566,no,1.9000000000000001,yes,0,yes,51,0.6,178,3,1,912,1980,1076,14,8.0,16,yes,yes,no,0
1561,yes,1.7000000000000002,yes,6,yes,6,0.6,172,6,17,179,1559,3354,9,1.0,4,yes,yes,yes,3
1433,yes,0.6,no,0,yes,56,0.7,201,1,1,156,952,463,7,3.0,9,yes,no,no,0
769,no,1.6,no,4,no,28,0.7999999999999999,185,4,10,344,1517,529,10,0.0,16,no,yes,no,0
1724,no,2.7,no,8,no,18,0.9,187,2,16,865,1741,3273,14,,16,yes,no,yes,3
1994,yes,1.7000000000000002,no,5,yes,57,1.1,110,2,15,1552,1596,608,9,3.0,5,yes,yes,yes,1
1056,no,1.2000000000000002,yes,10,yes,38,0.5,146,6,12,1097,1222,1677,18,4.0,15,yes,yes,yes,1
1285,yes,1.7000000000000002,yes,4,no,47,1.0,103,5,5,372,692,2700,9,6.0,18,yes,yes,no,2
1283,yes,2.4,yes,0,no,28,0.4,158,1,6,1285,1617,1131,12,1.0,7,no,yes,no,1
732,no,2.2,yes,0,yes,4,0.2,99,8,2,302,1247,1212,19,15.0,5,yes,yes,yes,0
1055,yes,0.9,yes,7,yes,45,0.4,113,1,12,594,1767,3088,17,6.0,6,yes,yes,yes,3
795,no,1.1,yes,5,yes,30,1.0,143,2,15,1858,1935,2334,17,,15,yes,yes,yes,2
1222,no,3.0,no,3,no,62,0.6,135,4,8,403,1933,2591,19,11.0,16,yes,yes,yes,2
825,yes,0.6,no,0,no,39,0.5,197,8,4,630,888,296,13,9.0,12,no,no,yes,0
1735,yes,2.9,no,3,yes,36,1.1,129,6,20,357,527,3578,17,16.0,10,yes,no,no,3
1431,no,1.6,yes,0,yes,40,1.0,110,3,14,246,820,3947,11,7.0,19,yes,no,yes,3
1841,yes,1.3,no,9,yes,54,0.6,210,7,11,475,1493,929,19,10.0,19,yes,no,yes,1
661,no,2.8000000000000003,no,6,yes,6,0.6,120,3,7,1054,1929,2046,15,5.0,3,yes,no,yes,1
1955,yes,,,7,,56,0.2,168,8,9,555,764,2336,11,,5,yes,no,no,2
1174,no,2.0,no,0,yes,27,0.7999999999999999,174,1,3,607,1092,1479,12,0.0,7,yes,no,no,1
614,yes,2.0,yes,6,no,16,0.4,112,7,7,1360,1891,3163,8,4.0,4,no,no,no,3
1565,no,2.5,no,0,yes,24,0.30000000000000004,180,8,0,142,1699,3662,7,5.0,6,yes,yes,no,3
1193,no,1.4000000000000001,yes,16,yes,26,0.9,94,1,20,681,683,1606,14,3.0,10,yes,no,yes,1
617,yes,0.6,yes,0,no,42,0.7,173,6,4,104,1664,2213,7,4.0,19,no,no,yes,1
1895,yes,2.2,yes,8,no,63,0.30000000000000004,144,2,11,637,763,3824,14,3.0,19,no,yes,yes,3
1565,no,1.8,yes,10,no,16,0.2,161,7,13,410,572,3924,11,1.0,9,no,no,yes,3
1997,yes,2.0,no,6,no,9,0.9,149,6,18,1830,1963,1205,14,12.0,19,yes,yes,yes,2
1519,no,0.6,no,6,yes,48,0.7,153,5,14,802,1489,2824,15,5.0,12,yes,yes,yes,3
834,no,1.7000000000000002,yes,1,yes,34,0.4,118,5,5,311,1294,449,15,13.0,13,yes,yes,no,0
1164,no,2.1,no,0,yes,56,0.7999999999999999,124,7,1,56,997,1654,5,0.0,21,yes,no,no,1
1597,yes,2.7,no,7,no,12,0.4,131,8,19,344,655,3610,15,1.0,17,no,yes,no,3
930,yes,0.6,yes,11,no,56,0.7999999999999999,90,8,13,221,1243,668,19,10.0,6,no,yes,no,0
1658,yes,0.6,yes,8,yes,38,0.2,115,7,17,506,519,1501,12,8.0,20,yes,no,yes,1
1939,yes,1.8,no,17,no,58,0.7,199,1,19,1728,1767,3323,5,4.0,15,yes,yes,no,3
770,yes,1.0,no,16,yes,56,0.2,123,1,20,418,515,954,19,3.0,17,yes,no,yes,0
1466,yes,0.6,yes,11,no,12,1.0,127,2,14,854,1168,3929,5,3.0,16,no,yes,yes,3
1350,no,2.1,no,18,no,52,0.4,108,3,20,1869,1942,957,18,11.0,8,yes,yes,yes,1
1753,no,0.6,yes,6,no,8,0.7,188,6,20,170,564,2971,8,6.0,18,no,no,yes,2
1709,no,1.5,no,0,no,41,0.9,90,7,2,1331,1388,1776,12,0.0,11,no,no,no,2
896,no,0.6,yes,1,yes,50,0.6,209,3,14,1285,1462,3617,13,0.0,7,yes,no,yes,3
647,no,1.3,no,6,yes,41,0.7999999999999999,194,8,17,741,1130,716,18,2.0,14,yes,yes,no,0
1172,yes,1.0,no,6,yes,14,0.5,209,2,13,474,709,717,18,5.0,21,yes,no,yes,0
1982,no,0.6,yes,2,yes,29,0.9,187,1,13,312,1910,3867,12,10.0,19,yes,no,no,3
1506,no,2.4,yes,1,no,64,1.0,192,1,2,19,1923,3061,6,5.0,11,no,yes,no,3
1381,yes,2.2,yes,14,yes,63,1.1,93,1,17,207,1370,653,9,6.0,8,yes,yes,no,0
1700,no,2.2,no,5,yes,18,1.0,170,6,20,363,994,798,13,3.0,15,yes,no,yes,0
922,no,2.2,yes,5,no,25,0.5,125,7,14,209,1078,787,10,7.0,6,no,yes,yes,0
974,yes,0.6,yes,5,no,13,0.5,203,5,8,1392,1795,1617,11,6.0,14,no,yes,no,1
664,no,0.6,no,5,no,20,0.9,148,1,10,1001,1224,2127,17,15.0,16,no,yes,yes,1
1869,no,2.4,no,0,yes,9,0.2,201,6,3,712,1442,992,6,1.0,3,yes,no,yes,1
1732,no,2.1,yes,0,yes,20,0.2,153,4,10,418,1023,1597,14,0.0,13,yes,yes,no,1
1725,yes,1.1,no,1,yes,7,0.7,136,3,17,384,1361,1215,5,0.0,17,yes,yes,yes,1
1884,yes,1.4000000000000001,yes,8,no,47,0.30000000000000004,150,2,13,119,652,2502,17,1.0,12,no,no,yes,2
805,no,0.9,yes,0,no,18,0.4,116,4,1,627,935,2803,18,15.0,13,no,yes,no,2
670,no,2.4,no,2,yes,48,0.4,124,1,19,195,1292,1203,14,12.0,5,yes,yes,no,0
1393,no,1.5,no,2,yes,36,0.9,192,1,6,14,1256,3141,14,7.0,15,yes,yes,no,2
1562,no,2.4,no,0,yes,22,0.9,179,7,1,745,1364,1940,15,11.0,17,yes,yes,yes,2
823,no,1.9000000000000001,yes,5,no,54,0.2,119,3,9,253,1786,3187,8,4.0,16,yes,no,no,2
